OpcUaMTConnectNamespaceMetadata,15001,Object
OverlapDataType,10055,DataType
PalletIdType,7138,VariableType
PartCountType,7143,VariableType
PartIdType,7148,VariableType
Path_FeedrateConditionType,8591,ObjectType
Path_PositionConditionType,8652,ObjectType
PathFeedrateType,6874,VariableType
PathModeType,7153,VariableType
PathModeTypeEnum,10056,DataType
PathPositionType,6884,VariableType
PHConditionType,8713,ObjectType
PHType,6894,VariableType
PositionConditionType,8774,ObjectType
PositionType,6904,VariableType
Power_FactorConditionType,8835,ObjectType
PowerFactorType,6914,VariableType
PowerStateType,7158,VariableType
PowerStateTypeEnum,10058,DataType
PressureConditionType,8896,ObjectType
PressureType,6924,VariableType
ProgramFeedRateType,9936,VariableType
ProgramSpindleSpeedType,9932,VariableType
ProgramToolNumberDataType,10060,DataType
ProgramType,7163,VariableType
QualifierTypeEnum,10061,DataType
RateDataType,10063,DataType
ReconditionCountType,9921,VariableType
ReconditionCountValueDataType,10064,DataType
ResistanceConditionType,8957,ObjectType
ResistanceType,6934,VariableType
Rotary_VelocityConditionType,9018,ObjectType
RotaryModeType,7168,VariableType
RotaryModeTypeEnum,10065,DataType
RotationalVelocityType,6944,VariableType
SampleRateDataType,10067,DataType
SenderDataType,10072,DataType
SensorConfigurationType,9828,ObjectType
SensorType,9842,ObjectType
SequenceDataType,10073,DataType
SerialNumberDataType,10074,DataType
SeverityTypeEnum,10068,DataType
SignificantDigitsValueDataType,10070,DataType
Sound_LevelConditionType,9079,ObjectType
SoundPressureType,6954,VariableType
SourceType,9855,ObjectType
SpeedDataType,10075,DataType
StationDataType,10071,DataType
StrainConditionType,9140,ObjectType
StrainType,6964,VariableType
SystemConditionType,9201,ObjectType
TemperatureConditionType,9262,ObjectType
TemperatureType,6974,VariableType
TestIndicatorDataType,10076,DataType
TiltConditionType,9323,ObjectType
TiltType,6984,VariableType
ToolAssetIdType,7173,VariableType
ToolEventValueDataType,10077,DataType
ToolGroupDataType,10078,DataType
ToolIdDataType,10079,DataType
ToolLifeDirectionTypeEnum,10080,DataType
ToolLifeTypeEnum,10082,DataType
ToolLifeValueDataType,10084,DataType
ToolNumberType,7178,VariableType
TorqueConditionType,9384,ObjectType
TorqueType,6994,VariableType
UnitsExtDataType,10085,DataType
VelocityConditionType,9445,ObjectType
VelocityType,7004,VariableType
VersionDataType,10086,DataType
VibrationValueDataType,10087,DataType
ViscosityConditionType,9506,ObjectType
ViscosityType,7014,VariableType
Volt_AmperageConditionType,9628,ObjectType
VoltageConditionType,9567,ObjectType
VoltageType,7024,VariableType
VoltAmperageReactiveConditionType,9689,ObjectType
VoltAmpereReactiveType,7044,VariableType
VoltAmpereType,7034,VariableType
WattageConditionType,9750,ObjectType
WattageType,7054,VariableType
WorkHoldingIdType,7183,VariableType
